ID,Nombre,Universidad,ID Universidad,Campus,ID Campus,Acreditación,Vacantes,Cant. Semestres,Arancel,Área,Horario,Empleabilidad,Ingreso,Admisión,Corte 2017,Corte 2016,Lenguaje,Matemáticas,Historia (Cs. Sociales),Ciencias,NEM,Ranking,Descripción,area_id
11,Biología,Universidad de Chile,1,,1,No,27.0,8.0,3093600,Ciencias Básicas,Diurno,,,,"642,6",,10.0,25.0,0.0,25.0,20.0,20.0,"La carrera Licenciatura en Ciencias, mención en Biología de la Universidad de Chile, busca preparar profesionales idóneos para dedicarse a la investigación científica y la enseñanza superior de las ciencias biológicas, para desenvolverse con eficiencia en múltiples actividades afines en la empresa privada y entidades del Estado.",4
12,Física,Universidad de Chile,1,,1,Si,27.0,8.0,3093600,Ciencias Básicas,Diurno,,,,"676,5",,10.0,40.0,0.0,10.0,20.0,20.0,"La carrera Licenciatura en Ciencias, mención en Física de la Universidad de Chile, busca formar graduados idóneos para la investigación científica y la docencia universitaria.",4
13,Matemáticas,Universidad de Chile,1,,1,No,27.0,8.0,3093600,Ciencias Básicas,Diurno,"94,5",,,"642,3",,10.0,40.0,0.0,10.0,20.0,20.0,"La carrera Licenciatura en Ciencias, mención en Matemáticas de la Universidad de Chile, orienta sus actividades con el propósito de ofrecer a sus alumnos una moderna y sólida formación matemática, que habilite a sus graduados no sólo para desempeñarse con eficiencia en la docencia universitaria, sino también para participar en la resolución de problemas que se presenten en grupos de investigación aplicada o tecnológica.",4
14,Química,Universidad de Chile,1,,1,Si,27.0,8.0,3093600,Ciencias Básicas,Diurno,"58,8",1000000.0,,"600,3",,10.0,30.0,0.0,20.0,20.0,20.0,"El egresado de la carrera Licenciatura en Ciencias, mención en Química de la Universidad de Chile, busca formar un graduado altamente calificado en el campo de la química, tanto en aspectos relacionados con la docencia superior como la investigación científica y tecnológica.",4
15,Biología mención en Medio Ambiente,Universidad de Chile,1,,1,Si,35.0,10.0,3351800,Ciencias Básicas,Diurno,,,,"622,5",,10.0,25.0,0.0,25.0,20.0,20.0,"La carrera Licenciatura en Ciencias Ambientales, mención Biología de la Universidad de Chile, busca formar un profesional con una sólida formación básica en ciencias naturales y exactas, en particular en la ecología, y una complementación en ciencias sociales, humanidades y economía, que lo familiarice con la institucionalidad ambiental.",4
16,Ingeniería en Biotecnología Molecular,Universidad de Chile,1,,1,Si,35.0,10.0,3351800,Ciencias Básicas,Diurno,"65,7",1300000.0,,"705,45",,10.0,25.0,0.0,25.0,20.0,20.0,"La carrera Ingeniería en Biotecnología Molecular de la Universidad de Chile, tiene como próspósito formar un profesional capaz de integrar conocimientos básicos con la problemática de la biotecnología, y así insertar la ciencia en los aspectos productivos.",4
17,Pedadogía en Ed. Media en Biología y Química,Universidad de Chile,1,,1,Si,35.0,10.0,3474300,Ciencias Básicas,Diurno,"84,1",900000.0,,"609,35",,10.0,25.0,0.0,25.0,20.0,20.0,"La carrera Profesor de Educación Media en Biología y Química de la Universidad de Chile, busca formar profesores con una sólida formación básica en su especialidad, que les permita comprender los fenómenos naturales y tecnológicos desde una perspectiva que integra las dos disciplinas",4
18,Pedadogía en Ed. Media en Matemática y Física,Universidad de Chile,1,,1,Si,63.0,10.0,3474300,Ciencias Básicas,Diurno,"94,5",,,"644,6",,10.0,40.0,0.0,10.0,20.0,20.0,"La Licenciatura en Ciencias Exactas - Profesor de Educación Media en Matemática y Física de la Universidad de Chile, busca formar profesionales con base para la formación de un profesional en educación media, que le permita vincular el conocimiento y la experiencia científica actual, con las necesidades nacionales en el área de la enseñanza de las ciencias, y que contribuya al mejoramiento de la calidad de la educación científica, cimiento del desarrollo de la ciencia y la tecnología.",4
19,Química Ambiental,Universidad de Chile,1,,1,Si,30.0,10.0,3351800,Ciencias Básicas,Diurno,"87,8",1400000.0,,"600,3",,10.0,30.0,0.0,20.0,20.0,20.0,"El programa Química Ambiental de la Universidad de Chile, busca preparar un profesional con capacidad para abordar los problemas propios del área, teniendo en consideración la caracterización, conservación, protección y prevención del medio ambiente, así como la armonización de la producción química con un desarrollo sustentable, en concordancia con un particular conocimiento de los problemas nacionales.",4
20,Ingeniería Agrónoma,Universidad de Chile,1,,6,Si,150.0,10.0,3936700,Agropecuaria,Diurno,"83,7",1200000.0,,"612,65",,15.0,35.0,20.0,20.0,10.0,20.0,"El egresado de la carrera Ingeniería Agronómica de la Universidad de Chile, será un especialista en la producción de alimentos considerando su calidad, sanidad y protección del medio ambiente.",2
21,Ingeniería en Recursos Naturales Renovables,Universidad de Chile,1,,6,Si,60.0,10.0,3936700,Agropecuaria,Diurno,"90,9",1300000.0,,"663,8",,15.0,35.0,20.0,20.0,10.0,20.0,"El egresado de la carrera Ingeniería en Recursos Naturales Renovables de la Universidad de Chile, busca generar estrategias que armonicen los componentes socioculturales, económicos y ambientales, en el use, que el hombre hace de los recursos naturales renovables.",2
22,Ingeniería y Ciencias - Plan Común,Universidad de Chile,1,,4,Si,685.0,12.0,5014900,Tecnología,Diurno,99,2100000.0,,"722,25",,10.0,45.0,0.0,15.0,10.0,20.0,"El egresado de la carrera Ingeniería Civil Industrial de la Universidad de Chile, es un profesional altamente capacitado para liderar empresas e instituciones.",11
23,Ingeniería Civil con Mención,Universidad de Chile,1,,4,Si,685.0,12.0,5014900,Tecnología,Diurno,99,2100000.0,,"722,25",,10.0,45.0,0.0,15.0,10.0,20.0,"La carrera Ingeniería Civil con mención de la Universidad de Chile, busca una formación básica en todas las ramas tradicionales de la Ingeniería Civil (Estructuras, Construcción, Geotecnia, Hidráulica, Sanitaria, Ambiental, Transporte) y además la especialización a través de una mención, que permite profundizar en algunas de estas ramas.",11
24,Ingeniería Civil Mecánica,Universidad de Chile,1,,4,Si,685.0,12.0,5014900,Tecnología,Diurno,"92,6",2200000.0,,"722,25",,10.0,45.0,0.0,15.0,10.0,20.0,"El egresado de la carrera Ingeniería Civil Mecánica de la Universidad de Chile, tiene la capacidad para actuar en todos los sectores productivos relacionados con las principales exportaciones nacionales: Minero, Forestal, Celulosa, agroindustria y pesca.",11
25,Ingeniería Civil Matemática,Universidad de Chile,1,,4,Si,685.0,12.0,5014900,Tecnología,Diurno,"82,2",,,"722,25",,10.0,45.0,0.0,15.0,10.0,20.0,"El egresado de la carrera Ingeniería Civil Matemática de la Universidad de Chile, se especializa en el uso de técnicas avanzadas de la matemática para modelar y resolver problemas complejos de Ingeniería y Ciencias.",11
26,Ingeniería Civil Biotecnología,Universidad de Chile,1,,4,Si,685.0,12.0,5014900,Tecnología,Diurno,,,,"722,25",,10.0,45.0,0.0,15.0,10.0,20.0,"El egresado de la carrera Ingeniería Civil en Biotecnología de la Universidad de Chile, estudia las técnicas de recombinación genética, cultivos celulares, manipulación embrionarias e ingenierías de enzimas y de bioprocesos.",11
27,Ingeniería Civil Eléctrica,Universidad de Chile,1,,4,Si,685.0,12.0,5014900,Tecnología,Diurno,"95,2",2400000.0,,"722,25",,10.0,45.0,0.0,15.0,10.0,20.0,"La carrera Ingeniería Civil Eléctrica de la Universidad de Chile, prepara profesionales para trabajar en la generación, transmisión y distribución de la energía eléctrica, en los desarrollos de nuevas tecnologías asociadas a telecomunicaciones, electrónica, mecatrónica y robótica.",11
28,Ingeniería Civil Química,Universidad de Chile,1,,4,Si,685.0,12.0,5014900,Tecnología,Diurno,"92,3",,,"722,25",,10.0,45.0,0.0,15.0,10.0,20.0,"El egresado de la carrera Ingeniería Civil Química de la Universidad de Chile, está capacitado para producir, administrar y diseñar materiales y productos de alto rendimiento que marcan la diferencia en el bienestar de la sociedad, como tecnologías para combatir daños ambientales, generar combustibles alternativos, incrementar la productividad de la industria alimenticia o la prevención de enfermedades.",11
29,Ingeniería Civil de Minas,Universidad de Chile,1,,4,Si,685.0,12.0,5014900,Tecnología,Diurno,99,2500000.0,,"722,25",,10.0,45.0,0.0,15.0,10.0,20.0,"El egresado de la carrera Ingeniería Civil de Minas de la Universidad de Chile, está capacitado para adaptar, desarrollar y utilizar nuevas tecnologías que permitan mejorar cada una de las etapas del negocio minero, con especial preocupación por la conservación del medio ambiente y el desarrollo sustentable.",11
30,Ingeniería Civil en Computación,Universidad de Chile,1,,4,Si,685.0,12.0,5014900,Tecnología,Diurno,"94,3",1900000.0,,"722,25",,10.0,45.0,0.0,15.0,10.0,20.0,"La carrera Ingeniería Civil en Computación de la Universidad de Chile, busca desarrollar nuevas tecnologías de la información y comunicación, como software, bases de datos, redes, tecnologías web, y seguridad computacional.",11
31,Geología,Universidad de Chile,1,,4,Si,685.0,12.0,5014900,Ciencias Básicas,Diurno,89,2300000.0,,"722,25",,10.0,45.0,0.0,15.0,10.0,20.0,"El egresado de la carrera de Geología de la Universidad de Chile, cuenta con los conocimientos necesarios para explorar y detectar recursos minerales, hídricos y energéticos, al mismo tiempo que están capacitados para evaluar y dar soluciones a problemas de riesgos geológicos, ambientales y de obras civiles.",4
32,Licenciatura en Ciencias Mención Física,Universidad de Chile,1,,1,Si,27.0,8.0,3093600,Tecnología,Diurno,,,,"676,5",,10.0,45.0,0.0,15.0,10.0,20.0,"La carrera Licenciatura en Ciencias, mención en Física de la Universidad de Chile, busca formar graduados idóneos para la investigación científica y la docencia universitaria.",11
33,Licenciatura en Ciencias Mención Geofísica,Universidad de Chile,1,,4,Si,685.0,8.0,5014900,Tecnología,Diurno,,,,"722,25",,10.0,45.0,0.0,15.0,10.0,20.0,"Los egresados de la carrera Licenciatura en Ciencias, mención Geofísica de la Universidad de Chile, cuentan con la capacidad para comprender cómo actúa la naturaleza, describir y explicar la dinámica del océano, la atmósfera y la corteza terrestre, las fuerzas que los movilizan y sus interacciones, usando tecnología de punta.",11
34,Licenciatura en Ciencias Mención Astronomía,Universidad de Chile,1,,4,Si,685.0,8.0,5014900,Tecnología,Diurno,,,,"722,25",,10.0,45.0,0.0,15.0,10.0,20.0,"El egresado de la carrera Licenciatura en Ciencias, mención Astronomía de la Universidad de Chile, se caracteriza por ser buen observador, tiene aptitudes para la matemática y cuenta con habilidad para el manejo de las computadoras.",11
35,"Ingeniería Forestal, Lic. en Ciecias Forestakes",Universidad de Chile,1,,6,No,50.0,10.0,3936700,Tecnología,Diurno,"91,9",1300000.0,,"602,1",,10.0,35.0,25.0,25.0,10.0,20.0,"La carrera Ingeniería Forestal de la Universidad de Chile, busca formar profesionales con la capacidad para contribuir al desarrollo sustentable del país.",11
36,Bioquímica,Universidad de Chile,1,,2,No,40.0,12.0,3648000,Ciencias Básicas,Diurno,"71,9",,,"686,2",,20.0,20.0,0.0,30.0,10.0,20.0,"El egresado de la carrera Bioquímica de la Universidad de Chile, es un profesional especialista en el conocimiento de la estructura y función molecular de la célula desde donde aborda y resuelve problemáticas relacionadas con los organismos vivos y sus aplicaciones.",4
37,Ingeniería en Alimentos,Universidad de Chile,1,,2,No,35.0,12.0,3648000,Ciencias Básicas,Diurno,"91,4",1400000.0,,619.7,,20.0,20.0,0.0,30.0,10.0,20.0,"El egresado de la carrera Ingeniería en Alimentos de la Universidad de Chile, es un profesional con una sólida formación en ciencias básicas y disciplinas afines, capacitado para concebir, diseñar, implementar, operar y dirigir de manera integral procesos productivos, de desarrollo, de innovación y de conservación de materias primas y alimentos, desempeñándose en organizaciones relacionadas con los alimentos del ámbito público y privado.",4
38,"Quimica, Lic en Química",Universidad de Chile,1,,2,No,40.0,12.0,3648000,Ciencias Básicas,Diurno,"58,8",1000000.0,,619.9,,20.0,20.0,0.0,30.0,10.0,20.0,"La carrera de Química de la Universidad de Chile, busca preparar un profesional universitario con los conocimientos básicos y de aplicación que los capaciten para entender y asimilar los avances científicos - tecnológicos en el campo de la química.",4
39,Química y Farmacia,Universidad de Chile,1,,2,No,140.0,12.0,3648000,Ciencias Básicas,Diurno,"95,3",1500000.0,,652.4,,20.0,20.0,0.0,30.0,10.0,20.0,"El egresado de la carrera Química y Farmacia de la Universidad de Chile, es un profesional de la salud, especialista en medicamentos, cosméticos y otras sustancias biológicamente activas, tanto en sus efectos beneficiosos como tóxicos, para lo cual cuenta con una formación en ciencias químico-biológicas con énfasis en las ciencias farmacéuticas.",4
40,"Antropología -  Arquelogía, Lic. en Antropología con mención en Antropología",Universidad de Chile,1,,1,Si,70.0,10.0,3106800,Ciencias Sociales,Diurno,"85,7",1200000.0,,695,,20.0,20.0,20.0,0.0,20.0,20.0,"La Licenciatura en Antropología con mención en Antropología Física, o en Antropología Social, o en Arqueología de la Universidad de Chile, busca formar profesionales capaces de lograr un estudio sistemático y riguroso de sociedades y grupos humanos.",5
41,"Pedagogía en Educación Parvaluria, Lic. en Educación.",Universidad de Chile,1,,1,Si,25.0,10.0,3010500,Ciencias Sociales,Diurno,,,,600,,20.0,15.0,15.0,15.0,30.0,20.0,"El egresado de la carrera Pedagogía en Educación Parvularia de la Universidad de Chile, es un profesional capaz de generar propuestas pedagógicas pertinentes que promuevan el desarrollo, el aprendizaje, el bienestar y la ciudadanía de los niños y niñas desde su nacimiento hasta los seis años de edad, considerando el juego como medio vital en esta etapa de la vida.",5
42,"Psicología, Lic. en Psicología.",Universidad de Chile,1,,1,Si,50.0,10.0,3010500,Ciencias Sociales,Diurno,"88,1",1000000.0,,"711,4",,25.0,20.0,15.0,15.0,20.0,20.0,"La carrera de Psicología de la Universidad de Chile, busca formar un profesional integral con competencias científicas y profesionales que le permitan desempeñarse con excelencia en las diversas opciones de ejercicio profesional de la psicología.",5
43,"Sociología, Lic. en Sociología.",Universidad de Chile,1,,1,Si,60.0,10.0,3010500,Ciencias Sociales,Diurno,"77,6",1200000.0,,"678,95",,25.0,20.0,15.0,0.0,20.0,20.0,"La carrera de Sociología de la Universidad de Chile, busca lograr una formación teórica y metodológica que permite el análisis e investigación de los fenómenos sociales y capacita para un desempeño eficiente en el diseño e implementación de programas y políticas sociales.",5
44,"Trabajo Social, Lic. en Trabajo Social",Universidad de Chile,1,,1,No,35.0,10.0,3010500,Ciencias Sociales,Diurno,,,,"603,9",,25.0,20.0,15.0,15.0,20.0,20.0,"El egresado de la carrera Trabajo Social de la Universidad de Chile, busca formar un profesional capaz de realizar análisis críticos y complejos de la realidad social, fundamentar e implementar intervenciones sociales efectivas e innovadoras que incidan en el mejoramiento sustantivo de algunos de los desafíos de la agenda social del país, aportando criterios y estrategias de mejoramiento en programas y políticas sociales específicas.",5
45,"Medicina Veterinaria, Lic. en Ciencias Veterinarias y Pecuarias",Universidad de Chile,1,,6,Si,180.0,10.0,3816600,Salud,Diurno,"75,5",1100000.0,,"629,1",,20.0,35.0,0.0,15.0,10.0,20.0,"La carrera Medicina Veterinaria de la Universidad de Chile, forma profesionales que poseen los conocimientos científicos y técnicos necesarios para el mejoramiento de la salud animal, el desarrollo y producción ganadera y la prevención y control de aquellas enfermedades de los animales transmisibles al hombre, colaborando así a la medicina preventiva humana.",9
46,"Derecho, Lic. en Ciencias Jurídicas y Sociales",Universidad de Chile,1,,2,No,362.0,10.0,4106600,Derecho,Diurno,"93,5",2100000.0,,"701,4",,25.0,10.0,25.0,0.0,20.0,20.0,"El egresado de la carrera Licenciado en Ciencias Jurídicas y Sociales de la Universidad de Chile, es un profesional con capacidad de reflexión y análisis crítico para la comprensión del fenómeno jurídico.",6
47,"Contador Auditor, Lic. en Contabilidad y Auditoría.",Universidad de Chile,1,,3,Si,60.0,10.0,4229100,Administración y comercio,Diurno,,,,"650,6",,10.0,50.0,10.0,10.0,10.0,20.0,"El egresado de la carrera Auditoría de la Universidad de Chile, es un profesional capaz de elaborar, presentar, revelar y validar información económica financiera, reconociendo y midiendo hechos económicos.",1
48,Ingenieria Comercial,Universidad de Chile,1,,3,No,270.0,10.0,4805400,Administración y comercio,Diurno,"90,6",2100000.0,,"705,3",,10.0,50.0,10.0,10.0,10.0,20.0,"El egresado de la carrera Ingeniería Comercial de la Universidad de Chile, busca formar profesionales capaces de analizar situaciones complejas, proponer soluciones y mejoras, liderar procesos de cambio, desarrollar trabajo multidisciplinario con equipos profesionales, enfoques éticos, de transparencia, y bienestar social y económico, de acuerdo con las políticas de gestión existentes.",1
49,Ingenieria en Información y Control de Gestión,Universidad de Chile,1,,3,Si,110.0,10.0,4229100,Administración y comercio,Diurno,"96,7",1900000.0,,"661,9",,10.0,50.0,10.0,10.0,10.0,20.0,"El egresado de la carrera Ingeniería en Información y Control de Gestión de la Universidad de Chile, es un profesional que se destaca por su sólida formación para diseñar, implementar y monitorear sistemas de información y control de gestión que faciliten la implementación de planes y estrategias definidos por la organización.",1
50,Lic. en Filosofía,Universidad de Chile,1,,1,No,80.0,8.0,2550700,Ciencias Sociales,Diurno,,,,"600,55",,30.0,15.0,25.0,0.0,10.0,20.0,"La carrera de Licenciatura en Filosofía de la Universidad de Chile, busca lograr una formación sistemática respecto de los conceptos básicos, teorías, lenguajes y métodos propios de la disciplina, con miras a entregar las bases filosóficas necesarias para continuar estudios académicos de postgrado, o profesionales de pedagogía en filosofía.",5
51,Lic. en Historia,Universidad de Chile,1,,1,No,90.0,8.0,2550700,Ciencias Sociales,Diurno,,,,"647,6",,20.0,15.0,35.0,0.0,10.0,20.0,"La Licenciatura en Historia de la Universidad de Chile, busca entregar una formación sistemática respecto de los conceptos básicos, teorías, métodos y contenidos fundamentales de la disciplina, como etapa previa para continuar estudios académicos de postgrado, o profesionales de Pedagogía en Historia.",5
52,Lengua y Literatura Inglesas,Universidad de Chile,1,,1,Si,78.0,8.0,2550700,Ciencias Sociales,Diurno,58,800000.0,,"614,7",,30.0,15.0,25.0,0.0,10.0,20.0,"La carrera Licenciatura en Lengua y Literatura Inglesas de la Universidad de Chile, busca entregar una formación sistemática respecto de los conceptos básicos, teorías, lenguajes y métodos propios de estas disciplinas, con miras a entregar las bases lingüísticas y culturales para continuar estudios académicos de postgrado, o profesionales de pedagogía en Inglés.",5
53,Lengua y Literatura Hispánicas,Universidad de Chile,1,,1,Si,100.0,8.0,2550700,Ciencias Sociales,Diurno,58,800000.0,,"627,15",,35.0,15.0,20.0,0.0,10.0,20.0,"La Licenciatura en Lengua y Literatura Hispánicas con mención en Literatura o en Lingüística de la Universidad de Chile, busca formar profesionales especialistas en la lengua y literatura castellana.",5
54,Pedagogía en Educación Básica,Universidad de Chile,1,,1,Si,30.0,10.0,2550700,Educación,Diurno,"84,1",900000.0,,"607,35",,25.0,25.0,20.0,20.0,10.0,20.0,"El egresado de la carrera Pedagogía en Educación Básica de la Universidad de Chile, es un profesional que tiene como misión favorecer y garantizar el aprendizaje de todos los niños, potenciando el desarrollo del pensamiento, la afectividad, la creatividad y la aceptación de la diversidad, reconociéndolos como personas autónomas, productoras de cultura y sujetos de derechos.",7
55,Enfermería,Universidad de Chile,1,,5,Si,87.0,10.0,3566200,Salud,Diurno,"98,6",1600000.0,,"705,75",,10.0,25.0,0.0,25.0,10.0,30.0,"La carrera de Enfermería de la Universidad de Chile, busca formar profesionales con vocación de servicio, destrezas técnicas y la capaciad para gestionar cuidados de enfermería al individuo sano o enfermo a través del ciclo vital, a la familia y comunidad.",9
56,Fonoaudiología,Universidad de Chile,1,,5,Si,44.0,10.0,3678600,Salud,Diurno,"84,9",1000000.0,,653,,10.0,25.0,0.0,25.0,10.0,30.0,"El egresado de la carrera Fonoaudiología de la Universidad de Chile, busca preparar profesionales de excelencia dedicados a estudiar la comunicación oral y sus trastornos, entregándoles las herramientas necesarias para prevenir, evaluar y tratar a los pacientes.",9
57,Kinesiología,Universidad de Chile,1,,5,Si,40.0,10.0,3666000,Salud,Diurno,"93,3",1200000.0,,"691,8",,10.0,25.0,0.0,25.0,10.0,30.0,"El egresado de la carrera de Kinesiología de la Universidad de Chile, es un profesional de la salud cuyo centro de interés es el ser humano y su movimiento, a través del cual propende al mejoramiento de la calidad de vida de la población.",9
58,Medicina.,Universidad de Chile,1,,3,Si,165.0,14.0,5285500,Salud,Diurno,"86,1",2500000.0,,"783,4",,10.0,25.0,0.0,25.0,10.0,30.0,"El egresado de la carrera de Medicina de la Universidad de Chile, es un profesional de reconocida excelencia, que se desempeña en forma competente en la red de salud, atendiendo integralmente las necesidades de salud de las personas y de la población en los ámbitos de la promoción, prevención, recuperación y rehabilitación a lo largo del ciclo vital, incorporando a la familia y la comunidad en su quehacer.",9
59,Nutrición y Dietética,Universidad de Chile,1,,3,Si,45.0,10.0,3566200,Salud,Diurno,"90,6",1200000.0,,"656,2",,10.0,25.0,0.0,25.0,10.0,30.0,"El egresado de la carrera Nutrición y Dietética de la Universidad de Chile, es un profesional capacitado para integrar las ciencias biomédicas en la aplicación de los principios de la nutrición, utilizando las ciencias sociales y económicas para fundamentar la intervención en alimentación de individuos y comunidades en diferentes condiciones de salud y etapas del ciclo vital.",9
60,Obstetricia y Puericultura,Universidad de Chile,1,,3,Si,82.0,10.0,3566200,Salud,Diurno,"99,6",1300000.0,,"695,05",,10.0,25.0,0.0,25.0,10.0,30.0,"El egresado de la carrera Obstetricia y Puericultura de la Universidad de Chile, es un profesional que se destaca por su compromiso con el servicio público y su gran sentido de responsabilidad social, capaz de brindar una atención en salud, con un enfoque holístico, a través del ciclo vital a la mujer, al recién nacido /a, su pareja, su familia y comunidad.",9
61,Tecnología Médica,Universidad de Chile,1,,3,Si,80.0,10.0,3884200,Salud,Diurno,"93,5",1500000.0,,"711,35",,10.0,25.0,0.0,25.0,10.0,30.0,"El egresado de la carrera Tecnología Médica de la Universidad de Chile, tiene como propósito formar profesionales autónomos e integrales, con sólidos principios éticos, espíritu crítico y de servicio.",9
62,Terapia Ocupacional,Universidad de Chile,1,,3,No,42.0,10.0,3566200,Salud,Diurno,"95,6",1100000.0,,"679,9",,10.0,25.0,0.0,25.0,10.0,30.0,"La carrera Terapia Ocupacional de la Universidad de Chile, busca formar licenciados en Ciencia de la Ocupación, capaces de responder a la problemática que enfrenta el país respecto de la integración social de grupos vulnerables y de personas con discapacidad.",9
63,Odontología,Universidad de Chile,1,,5,Si,90.0,12.0,5285500,Salud,Diurno,97,1600000.0,,"707,4",,20.0,20.0,0.0,30.0,10.0,20.0,"El egresado de la carrera de Odontología de la Universidad de Chile, es un profesional del área de la salud que cuenta con una formación científica, tecnológica y humanista.",9
64,Administración Pública,Universidad de Chile,1,,2,Si,100.0,11.0,3120100,Administración y comercio,Diurno,"86,9",1700000.0,,"659,3",,20.0,20.0,20.0,0.0,10.0,30.0,"La carrera Administración Pública de la Universidad de Chile, busca entregar a sus estudiantes la capacidad para encontrar equilibrios entre la autoridad, el orden, la libertad y expectativas de desarrollo de los ciudadanos.",1
65,Cine y Televisión,Universidad de Chile,1,,2,No,51.0,10.0,3986500,Ciencias Sociales,Diurno,57,,,"637,9",,30.0,15.0,15.0,15.0,10.0,30.0,"La carrera Cine y Televisión de la Universidad de Chile, brinda una formación integral en las áreas de la comunicación social, las humanidades y las artes, junto a una formación especializada profesional que cubre los conocimientos y competencias propias del campo de la comunicación audiovisual y multimedial.",5
66,Periodismo,Universidad de Chile,1,,2,Si,100.0,10.0,3126900,Ciencias Sociales,Diurno,"86,5",1000000.0,,"653,5",,30.0,15.0,15.0,0.0,10.0,30.0,"El egresado de la carrera de Periodismo de la Universidad de Chile, busca otorgar una formación general y sistemática, con un adecuado fundamento científico y humanístico en las distintas disciplinas que abarca el área de las ciencias y técnicas de la comunicación social.",5
